epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,2162.26,1.60807,0.68707,1.19055,0.68827,0.68748,0.69224,0.3092,2.59727,1.08088,1.49206,0.000513221,0.000171074,0.000513221,0.000171074,0.000513221,0.000171074,0.000513221,0.000171074
84,2188.14,1.58633,0.67646,1.18725,0.72253,0.66614,0.68868,0.30139,2.60652,1.08916,1.49769,0.000486224,0.000162075,0.000486224,0.000162075,0.000486224,0.000162075,0.000486224,0.000162075
85,2213.72,1.6071,0.68646,1.19732,0.717,0.66894,0.68933,0.30382,2.60335,1.07987,1.50016,0.000459227,0.000153076,0.000459227,0.000153076,0.000459227,0.000153076,0.000459227,0.000153076
86,2239.34,1.61719,0.69442,1.19087,0.72481,0.69708,0.69664,0.30477,2.58872,1.08087,1.49879,0.00043223,0.000144077,0.00043223,0.000144077,0.00043223,0.000144077,0.00043223,0.000144077
87,2265.1,1.58574,0.67958,1.18922,0.73304,0.69082,0.70209,0.30861,2.59543,1.07426,1.49891,0.000405232,0.000135077,0.000405232,0.000135077,0.000405232,0.000135077,0.000405232,0.000135077
88,2291.09,1.59426,0.68146,1.18783,0.71617,0.69628,0.69521,0.30515,2.60715,1.07428,1.50552,0.000378235,0.000126078,0.000378235,0.000126078,0.000378235,0.000126078,0.000378235,0.000126078
89,2316.88,1.57815,0.66621,1.18579,0.72479,0.68143,0.69406,0.30204,2.60751,1.08278,1.5027,0.000351238,0.000117079,0.000351238,0.000117079,0.000351238,0.000117079,0.000351238,0.000117079
90,2342.69,1.55886,0.66423,1.18638,0.7338,0.69054,0.70146,0.30142,2.60937,1.08374,1.50315,0.00032424,0.00010808,0.00032424,0.00010808,0.00032424,0.00010808,0.00032424,0.00010808
91,2369.99,1.54898,0.63245,1.19109,0.7126,0.68116,0.6904,0.30567,2.59141,1.05858,1.51234,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05
92,2395.37,1.51731,0.61458,1.17927,0.73826,0.67597,0.69156,0.30244,2.57063,1.05955,1.50896,0.000270246,9.00819e-05,0.000270246,9.00819e-05,0.000270246,9.00819e-05,0.000270246,9.00819e-05
93,2420.89,1.49895,0.60962,1.18163,0.73927,0.68217,0.69764,0.30543,2.5802,1.06207,1.49709,0.000243248,8.10828e-05,0.000243248,8.10828e-05,0.000243248,8.10828e-05,0.000243248,8.10828e-05
94,2446.09,1.46142,0.59589,1.17557,0.73359,0.68568,0.70946,0.3042,2.57512,1.06552,1.50249,0.000216251,7.20837e-05,0.000216251,7.20837e-05,0.000216251,7.20837e-05,0.000216251,7.20837e-05
95,2471.31,1.45953,0.59112,1.16349,0.73257,0.67383,0.69888,0.30588,2.57293,1.06877,1.50318,0.000189254,6.30846e-05,0.000189254,6.30846e-05,0.000189254,6.30846e-05,0.000189254,6.30846e-05
96,2496.92,1.47157,0.59523,1.1768,0.70902,0.68321,0.69103,0.30655,2.57696,1.08035,1.50364,0.000162257,5.40855e-05,0.000162257,5.40855e-05,0.000162257,5.40855e-05,0.000162257,5.40855e-05
97,2521.81,1.41975,0.57727,1.15987,0.71085,0.67064,0.68728,0.30394,2.58125,1.07077,1.50576,0.000135259,4.50864e-05,0.000135259,4.50864e-05,0.000135259,4.50864e-05,0.000135259,4.50864e-05
98,2547.15,1.45524,0.58431,1.17176,0.71832,0.67947,0.69628,0.30364,2.58479,1.07065,1.50516,0.000108262,3.60873e-05,0.000108262,3.60873e-05,0.000108262,3.60873e-05,0.000108262,3.60873e-05
99,2572.51,1.43052,0.57975,1.17005,0.73007,0.68388,0.69727,0.304,2.57889,1.08142,1.50406,8.12646e-05,2.70882e-05,8.12646e-05,2.70882e-05,8.12646e-05,2.70882e-05,8.12646e-05,2.70882e-05
100,2598.39,1.43957,0.58935,1.16406,0.73644,0.67665,0.6981,0.30388,2.5874,1.08048,1.50544,5.42673e-05,1.80891e-05,5.42673e-05,1.80891e-05,5.42673e-05,1.80891e-05,5.42673e-05,1.80891e-05
